Model,AUC,Sensitivity,Specificity,TP,TN,FP,FN
Logistic Regression,0.969573,0.926431,0.888112,4420,127,16,351
Random Forest,0.970011,0.998533,0.517483,4764,74,69,7
XGBoost,0.971893,0.987005,0.790210,4709,113,30,62
LightGBM,0.973269,0.990568,0.776224,4726,111,32,45
CatBoost,0.976025,0.992035,0.769231,4733,110,33,38
LDA,0.921412,0.998323,0.510490,4763,73,70,8
MLP,0.918974,0.994760,0.629371,4746,90,53,25
Bayesian LR,0.971025,0.929365,0.874126,4434,125,18,337
1D-CNN (Base),0.973522,0.947181,0.902098,4519,129,14,252
ResNet-1D,0.939336,0.939216,0.797203,4481,114,29,290
CNN-LSTM,0.969637,0.957451,0.888112,4568,127,16,203
Dilated-CNN,0.920830,0.952421,0.699301,4544,100,43,227
Attention-CNN,0.900886,0.745756,0.832168,3558,119,24,1213